s_center,x,y,yaw,curvature,steering,d_delta_ds,segment_length,lateral_offset,speed_85,accel_85,steering_rate_85
0.000000000,0.000000000,-6.451770155,-0.010747188,0.000713032,0.000713031,0.007142102,0.099194478,-1.451770155,9.000000000,0.000000000,0.064278916
0.099188787,0.099188787,-6.452832688,-0.010596882,0.002317502,0.002317498,0.018433314,0.099194236,-1.452832688,9.000000000,0.000000000,0.165899822
0.198377574,0.198377574,-6.453872417,-0.010265201,0.004370021,0.004369993,0.020691932,0.099193795,-1.453872417,9.000000000,0.000000000,0.186227385
0.297566361,0.297566361,-6.454869145,-0.009729920,0.006422618,0.006422530,0.020692515,0.099193180,-1.454869145,9.000000000,0.000000000,0.186232632
0.396755147,0.396755147,-6.455802676,-0.008991035,0.008475321,0.008475118,0.020693164,0.099192430,-1.455802676,9.000000000,0.000000000,0.186238473
0.495943934,0.495943934,-6.456652813,-0.008048536,0.010528145,0.010527756,0.020693729,0.099191596,-1.456652813,9.000000000,0.000000000,0.186243562
0.595132721,0.595132721,-6.457399359,-0.006902417,0.012581087,0.012580424,0.020694020,0.099190742,-1.457399359,9.000000000,0.000000000,0.186246183
0.694321508,0.694321508,-6.458022119,-0.005552669,0.014634128,0.014633084,0.020693806,0.099189942,-1.458022119,9.000000000,0.000000000,0.186244251
0.793510295,0.793510295,-6.458500896,-0.003999288,0.016687224,0.016685675,0.020692812,0.099189286,-1.458500896,9.000000000,0.000000000,0.186235309
0.892699082,0.892699082,-6.458815492,-0.002242272,0.018740301,0.018738108,0.020690726,0.099188872,-1.458815492,9.000000000,0.000000000,0.186216532
0.991887869,0.991887869,-6.458945713,-0.000281626,0.020793259,0.020790263,0.020687192,0.099188815,-1.458945713,9.000000000,0.000000000,0.186184726
1.091076655,1.091076655,-6.458871361,0.001882639,0.022845959,0.022841985,0.020681814,0.099189238,-1.458871361,9.000000000,0.000000000,0.186136330
1.190265442,1.190265442,-6.458572239,0.004250499,0.024898224,0.024893081,0.020674157,0.099190279,-1.458572239,9.000000000,0.000000000,0.186067417
1.289454229,1.289454229,-6.458028152,0.006821918,0.026949836,0.026943315,0.020663745,0.099192088,-1.458028152,9.000000000,0.000000000,0.185973701
